iter	F1	Logloss
154	0.9816753927	0.1787100787
155	0.9816753927	0.1765465785
156	0.9829619921	0.1759512791
157	0.9856396867	0.1732182237
158	0.9849967384	0.1718733717
159	0.9856396867	0.1706527233
160	0.9862834749	0.1693495999
161	0.9862834749	0.1678631556
162	0.9869281046	0.1663667228
163	0.9869281046	0.1651880393
164	0.9862834749	0.164222393
165	0.9862834749	0.1628273583
166	0.9862834749	0.1616005819
167	0.9862834749	0.1606135387
168	0.9862834749	0.1586821573
169	0.9862834749	0.1581493888
170	0.9862834749	0.1573944589
171	0.9862834749	0.1560125365
172	0.9862834749	0.1549153499
173	0.9895833333	0.1537229162
174	0.9895833333	0.1522228537
175	0.9895833333	0.1505168083
176	0.9895833333	0.1487019389
177	0.990228013	0.1476020634
178	0.990228013	0.1458208507
179	0.990228013	0.1443410366
180	0.990228013	0.1437566586
181	0.9915198956	0.1427714841
182	0.9908735332	0.1416090053
183	0.9915198956	0.140533453
184	0.9915198956	0.1397144487
185	0.9921671018	0.1387110232
186	0.9915198956	0.137417202
187	0.9928151535	0.136372521
188	0.9921671018	0.1348905314
189	0.9928151535	0.1337611569
190	0.9928151535	0.1332741798
191	0.9928151535	0.1319381846
192	0.9934640523	0.1308136537
193	0.9934640523	0.1301917498
194	0.9934640523	0.1292023168
195	0.9934640523	0.1280059305
196	0.9934640523	0.1272559221
197	0.9941137999	0.1258707749
198	0.9941137999	0.1251124334
199	0.9941137999	0.1238902157
200	0.9941137999	0.1230283419
201	0.9941137999	0.1224371574
202	0.9941137999	0.1211841837
203	0.9941137999	0.1200022526
204	0.9947643979	0.1195394496
205	0.9947643979	0.1185155349
206	0.9947643979	0.1171035413
207	0.9954158481	0.1159999549
208	0.996068152	0.1146379092
209	0.996068152	0.1138945513
210	0.9967213115	0.1130320936
211	0.996068152	0.1125243432
212	0.996068152	0.112185968
213	0.996068152	0.1114516229
214	0.9967213115	0.110771552
215	0.9967213115	0.1102546713
216	0.9967213115	0.1089266861
217	0.9967213115	0.1081660441
218	0.9967213115	0.1075314307
219	0.9973753281	0.1065361401
220	0.9973753281	0.1057266496
221	0.9980302035	0.105267154
222	0.9980302035	0.1044720804
223	0.9980302035	0.1033328478
224	0.9980302035	0.1028381559
225	0.9993425378	0.1018435377
226	0.9993425378	0.1010859882
227	0.9993425378	0.1008493371
228	0.9993425378	0.09999184603
229	0.9986859396	0.099261112
230	0.9980302035	0.09859826692
231	0.9980302035	0.09790849096
232	0.9986859396	0.09716022072
233	0.9986859396	0.09639478148
234	0.9986859396	0.09578862124
235	0.9986859396	0.09511847334
236	0.9986859396	0.09482924715
237	0.9993425378	0.09423198222
238	0.9986859396	0.0934676398
239	0.9986859396	0.09319403902
240	0.9993425378	0.09218643199
241	1	0.09117499068
242	1	0.09071511474
243	1	0.09012153517
244	1	0.08962876389
245	1	0.08929974604
246	1	0.08868650587
247	1	0.08794236234
248	1	0.0875985935
249	1	0.08709330073
250	1	0.08649883078
251	1	0.08574454004
252	1	0.08516490307
253	1	0.08472770886
254	1	0.08414646865
255	1	0.08367672739
256	1	0.08284918898
257	1	0.08189681278
258	1	0.08132519521
259	1	0.08080733515
260	1	0.08059402068
261	1	0.07987076552
262	1	0.07956374108
263	1	0.07923766667
264	1	0.07878537636
265	1	0.07809113869
266	1	0.07780126662
267	1	0.07697852243
268	1	0.07662541193
269	1	0.07595504451
270	1	0.07549245266
271	1	0.07484331276
272	1	0.074507403
273	1	0.0739078055
274	1	0.07315137201
275	1	0.07287404149
276	1	0.07234382958
277	1	0.07203990473
278	1	0.07174827351
279	1	0.07119026075
280	1	0.07054607691
281	1	0.06999053432
282	1	0.06955921156
283	1	0.0690532754
284	1	0.06883221524
285	1	0.06857920598
286	1	0.06814766057
287	1	0.06762170426
288	1	0.06720876446
289	1	0.06690150997
290	1	0.06647793835
291	1	0.06618617088
292	1	0.06585586288
293	1	0.06544218979
294	1	0.06501257203
295	1	0.06433407222
296	1	0.06408772408
297	1	0.06385097422
298	1	0.06335226131
299	1	0.06318736337
300	1	0.06272540933
301	1	0.06245564217
302	1	0.06194382009
303	1	0.06153341453
304	1	0.06110526784
305	1	0.06083278553
306	1	0.0604618989
307	1	0.06024821679
308	1	0.05998522338
309	1	0.05955892079
310	1	0.05927967513
311	1	0.05884887658
312	1	0.05837999329
313	1	0.05815522349
314	1	0.05790294832
315	1	0.05755426645
316	1	0.05734550031
317	1	0.05696799157
318	1	0.05663645001
319	1	0.05639820527
320	1	0.05626672524
321	1	0.05600330858
322	1	0.0558210116
323	1	0.05559072329
324	1	0.05535691077
325	1	0.05514261553
326	1	0.05488928987
327	1	0.05450210026
328	1	0.05413809444
329	1	0.05404963614
330	1	0.05355492659
331	1	0.05338150893
332	1	0.05305421459
333	1	0.05265951696
334	1	0.05214777518
335	1	0.05185157108
336	1	0.05153045758
337	1	0.05115366232
338	1	0.05083733301
339	1	0.05057691108
340	1	0.05035475676
341	1	0.05002892342
342	1	0.04981352719
343	1	0.04957654235
344	1	0.04911064299
345	1	0.04895717442
346	1	0.04866267323
347	1	0.04847934922
348	1	0.048079685
349	1	0.04796931327
350	1	0.04764172011
351	1	0.04749038858
352	1	0.04714779074
353	1	0.04687893517
354	1	0.04657496357
355	1	0.04631084097
356	1	0.0460841978
357	1	0.04580450671
358	1	0.04550885886
359	1	0.04528895612
360	1	0.04515495811
361	1	0.04492701729
362	1	0.04458838554
363	1	0.04440152025
364	1	0.04423405861
365	1	0.04399943537
366	1	0.0438692996
367	1	0.04369039158
368	1	0.04356536557
369	1	0.04343557113
370	1	0.04325303336
371	1	0.04300194636
372	1	0.0427774391
373	1	0.04253450225
374	1	0.04232558858
375	1	0.04210787854
376	1	0.04193330882
377	1	0.04167340646
378	1	0.04150540048
379	1	0.04134316725
380	1	0.04125509687
381	1	0.04112058822
382	1	0.04078313089
383	1	0.04057510901
384	1	0.04038480244
385	1	0.04027725197
386	1	0.04006864797
387	1	0.03981909261
388	1	0.03956188595
389	1	0.03938808088
390	1	0.03906655818
391	1	0.03884111459
392	1	0.03862506208
393	1	0.03837929062
394	1	0.03818246778
395	1	0.03794665232
396	1	0.03767866023
397	1	0.03759330029
398	1	0.03741876655
399	1	0.03723257907
400	1	0.03700927962
401	1	0.0368386779
402	1	0.03671504706
403	1	0.03650499144
404	1	0.03632156639
405	1	0.03610438973
406	1	0.03602950271
407	1	0.03578490316
408	1	0.03567086245
409	1	0.03546084066
410	1	0.03527902867
411	1	0.03507667837
412	1	0.03491138658
413	1	0.03477186861
414	1	0.03462864576
415	1	0.03441813944
416	1	0.03425984111
417	1	0.03406282105
418	1	0.0338514712
419	1	0.03370048671
420	1	0.03350493749
421	1	0.03341471261
422	1	0.0332312899
423	1	0.03311502636
424	1	0.03297831821
425	1	0.03291069565
426	1	0.03279500574
427	1	0.03259366664
428	1	0.03249481058
429	1	0.03235894116
430	1	0.03226129947
431	1	0.0322005402
432	1	0.03206796976
433	1	0.03202091458
434	1	0.03189352141
435	1	0.0317438011
436	1	0.03166123845
437	1	0.0315165463
438	1	0.03135366233
439	1	0.03120940369
440	1	0.03107329145
441	1	0.03093800913
442	1	0.03084968833
443	1	0.0306922083
444	1	0.03060748401
445	1	0.03048633037
446	1	0.03026977144
447	1	0.03011573926
448	1	0.03001869629
449	1	0.02987378382
450	1	0.02978575049
451	1	0.0295454313
452	1	0.02941471043
453	1	0.02934858964
454	1	0.02926032552
455	1	0.02911357096
456	1	0.02896611586
457	1	0.02887885127
458	1	0.028754386
459	1	0.0287039918
460	1	0.02858717595
461	1	0.02848426839
462	1	0.02839235304
463	1	0.02828125654
464	1	0.02820942237
465	1	0.02808101147
466	1	0.02803569092
467	1	0.02795755471
468	1	0.02785472058
469	1	0.0277638883
470	1	0.02765898247
471	1	0.02762024551
472	1	0.02750288244
473	1	0.0274298269
474	1	0.02728782336
475	1	0.02723484262
476	1	0.02720284006
477	1	0.0270806712
478	1	0.02699052085
479	1	0.02685238126
480	1	0.02671226146
481	1	0.02660661418
482	1	0.02651903419
483	1	0.02644911664
484	1	0.02638297145
485	1	0.02622503036
486	1	0.02615881124
487	1	0.02607816467
488	1	0.02600149777
489	1	0.02588824992
490	1	0.02582898819
491	1	0.02575633546
492	1	0.0256936725
493	1	0.02566804843
494	1	0.02558931997
495	1	0.02552132481
496	1	0.02544280882
497	1	0.0253393766
498	1	0.02518841111
499	1	0.02510241145

489	1	0.02321070466
490	1	0.02308555216
491	1	0.02299387605
492	1	0.02288836252
493	1	0.02276314536
494	1	0.02273805129
495	1	0.02264854898
496	1	0.02256011354
497	1	0.02249117256
498	1	0.02238536577
499	1	0.02225896848
